day,Market
2012/11/13,0.510092101
2012/11/14,-0.385635446
2012/11/15,0.352893374
2012/11/16,-0.020017528
2012/11/17,0.558687822
2012/11/18,-0.731664163
2012/11/19,0.487064711
2012/11/20,-0.606874064
2012/11/21,0.532308306
2012/11/22,-0.274591186
2012/11/23,0.206350938
2012/11/24,0.132126676
2012/11/25,0.122839099
2012/11/26,0.071910669
2012/11/27,-0.323287694
2012/11/28,0.155763571
2012/11/29,0.011876055
2012/11/30,0.012846446
2012/12/1,-0.153782188
2012/12/2,0.01444445
2012/12/3,-0.295751186
2012/12/4,0.313434478
2012/12/5,-0.277360587
2012/12/6,0.219861998
2012/12/7,-0.066818604
2012/12/8,0.259914483
2012/12/9,0.00740081
2012/12/10,-0.22287689
2012/12/11,0.09461405
2012/12/12,0.11659267
2012/12/13,-0.580796697
2012/12/14,0.000284026
2012/12/15,0.452753569
2012/12/16,-0.26712609
2012/12/17,0.305717115
2012/12/18,0.239311113
2012/12/19,-0.328531632
2012/12/20,-0.387197148
2012/12/21,0.296074552
2012/12/22,0.050700323
2012/12/23,-0.574883982
2012/12/24,0.47507705
2012/12/25,-0.0355688
2012/12/26,-0.197648283
2012/12/27,-0.147583833
2012/12/28,0.515159879
2012/12/29,0.132506806
2012/12/30,-0.466976871
2012/12/31,0.54061031
2013/1/1,-0.080958573
2013/1/2,0.142410016
2013/1/3,-0.007258888
2013/1/4,-0.051863921
2013/1/5,0.031116175
2013/1/6,0.012458527
2013/1/7,-0.033643385
2013/1/8,-0.04848748
2013/1/9,-0.349906869
2013/1/10,0.236629083
2013/1/11,0.103509505
2013/1/12,0.161470221
2013/1/13,-0.071451156
2013/1/14,-0.162015455
2013/1/15,-0.195188458
2013/1/16,0.352459471
2013/1/17,0.031001531
2013/1/18,-0.024036734
2013/1/19,-0.153023467
2013/1/20,-0.366798981
2013/1/21,0.222224988
2013/1/22,0.16571969
2013/1/23,-0.107479348
2013/1/24,-0.143882032
2013/1/25,0.190284867
2013/1/26,-0.267110577
2013/1/27,0.365054597
2013/1/28,-0.189098074
2013/1/29,0.154991709
2013/1/30,-0.207072343
2013/1/31,-0.254101334
2013/2/1,0.087046075
2013/2/2,0.088713488
2013/2/3,-0.030310791
2013/2/4,-0.068273026
2013/2/5,0.321088098
2013/2/6,-0.018823637
2013/2/7,0.036430345
2013/2/8,0.016570066
2013/2/9,0.152406856
2013/2/10,-0.854923336
2013/2/11,0.607956427
2013/2/12,-0.292168443
2013/2/13,0.074016639
2013/2/14,0.296901948
2013/2/15,-0.094376909
2013/2/16,0.113438896
2013/2/17,-0.371393072
2013/2/18,-0.001226013
2013/2/19,0.266117655
2013/2/20,-0.618869897
2013/2/21,0.196804696
2013/2/22,0.308114995
2013/2/23,-0.049040647
2013/2/24,-0.401967217
2013/2/25,-0.112796159
2013/2/26,0.300905071
2013/2/27,0.297900511
2013/2/28,-0.073120039
2013/3/1,-0.081528811
2013/3/2,0.101830869
2013/3/3,0.314069072
2013/3/4,-0.212877143
2013/3/5,0.148398541
2013/3/6,-0.141954952
2013/3/7,0.052654561
